question_type,question,answer
other information,What other information should I know about Ambrisentan ?,
brand names,What are the brand names of Ambrisentan ?,
indication,Who should get Amifostine Injection and why is it prescribed ?,
usage,How should Amifostine Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Amifostine Injection ?,
dietary,What special dietary instructions should I follow with Amifostine Injection ?,
side effects,What are the side effects or risks of Amifostine Injection ?,
emergency or overdose,What to do in case of emergency or overdose of Amifostine Injection ?,
other information,What other information should I know about Amifostine Injection ?,
brand names,What are the brand names of Amifostine Injection ?,
important warning,What important warning or information should I know about Amikacin Injection ?,
indication,Who should get Amikacin Injection and why is it prescribed ?,
usage,How should Amikacin Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Amikacin Injection ?,
dietary,What special dietary instructions should I follow with Amikacin Injection ?,
side effects,What are the side effects or risks of Amikacin Injection ?,
emergency or overdose,What to do in case of emergency or overdose of Amikacin Injection ?,
other information,What other information should I know about Amikacin Injection ?,
brand names,What are the brand names of Amikacin Injection ?,
indication,Who should get Amiloride and why is it prescribed ?,
usage,How should Amiloride be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Amiloride ?,
dietary,What special dietary instructions should I follow with Amiloride ?,
forget a dose,What should I do if I forget a dose of Amiloride ?,
side effects,What are the side effects or risks of Amiloride ?,
storage and disposal,What should I know about storage and disposal of Amiloride ?,
emergency or overdose,What to do in case of emergency or overdose of Amiloride ?,
other information,What other information should I know about Amiloride ?,
brand names,What are the brand names of Amiloride ?,
indication,Who should get Amiloride and Hydrochlorothiazide and why is it prescribed ?,
usage,How should Amiloride and Hydrochlorothiazide be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Amiloride and Hydrochlorothiazide ?,
dietary,What special dietary instructions should I follow with Amiloride and Hydrochlorothiazide ?,
forget a dose,What should I do if I forget a dose of Amiloride and Hydrochlorothiazide ?,
side effects,What are the side effects or risks of Amiloride and Hydrochlorothiazide ?,
storage and disposal,What should I know about storage and disposal of Amiloride and Hydrochlorothiazide ?,
emergency or overdose,What to do in case of emergency or overdose of Amiloride and Hydrochlorothiazide ?,
other information,What other information should I know about Amiloride and Hydrochlorothiazide ?,
brand names of combination products,What are the brand names of combination products of Amiloride and Hydrochlorothiazide ?,
indication,Who should get Aminocaproic Acid and why is it prescribed ?,
usage,How should Aminocaproic Acid be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Aminocaproic Acid ?,
dietary,What special dietary instructions should I follow with Aminocaproic Acid ?,
forget a dose,What should I do if I forget a dose of Aminocaproic Acid ?,
side effects,What are the side effects or risks of Aminocaproic Acid ?,
storage and disposal,What should I know about storage and disposal of Aminocaproic Acid ?,
emergency or overdose,What to do in case of emergency or overdose of Aminocaproic Acid ?,
other information,What other information should I know about Aminocaproic Acid ?,
brand names,What are the brand names of Aminocaproic Acid ?,
indication,Who should get Aminocaproic Acid Injection and why is it prescribed ?,
usage,How should Aminocaproic Acid Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Aminocaproic Acid Injection ?,
dietary,What special dietary instructions should I follow with Aminocaproic Acid Injection ?,
forget a dose,What should I do if I forget a dose of Aminocaproic Acid Injection ?,
side effects,What are the side effects or risks of Aminocaproic Acid Injection ?,
storage and disposal,What should I know about storage and disposal of Aminocaproic Acid Injection ?,
emergency or overdose,What to do in case of emergency or overdose of Aminocaproic Acid Injection ?,
other information,What other information should I know about Aminocaproic Acid Injection ?,
brand names,What are the brand names of Aminocaproic Acid Injection ?,
indication,Who should get Aminolevulinic Acid Topical and why is it prescribed ?,
usage,How should Aminolevulinic Acid Topical be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Aminolevulinic Acid Topical ?,
dietary,What special dietary instructions should I follow with Aminolevulinic Acid Topical ?,
forget a dose,What should I do if I forget a dose of Aminolevulinic Acid Topical ?,
side effects,What are the side effects or risks of Aminolevulinic Acid Topical ?,
emergency or overdose,What to do in case of emergency or overdose of Aminolevulinic Acid Topical ?,
other information,What other information should I know about Aminolevulinic Acid Topical ?,
brand names,What are the brand names of Aminolevulinic Acid Topical ?,
