question_type,question,answer
when to contact a medical professional,Do I need to see a doctor for Albinism ?,
prevention,How to prevent Albinism ?,
information,What is (are) Albumin - blood (serum) test ?,
susceptibility,Who is at risk for Albumin - blood (serum) test? ?,
information,Do you have information about Alcohol and pregnancy,
information,What is (are) Alcohol use and safe drinking ?,
information,What is (are) Alcohol use and safe drinking ?,
information,What is (are) Alcohol use disorder ?,
causes,What causes Alcohol use disorder ?,
symptoms,What are the symptoms of Alcohol use disorder ?,
exams and tests,How to diagnose Alcohol use disorder ?,
treatment,What are the treatments for Alcohol use disorder ?,
support groups,Where to find support for people with Alcohol use disorder ?,
outlook,What is the outlook for Alcohol use disorder ?,
complications,What are the complications of Alcohol use disorder ?,
when to contact a medical professional,Do I need to see a doctor for Alcohol use disorder ?,
prevention,How to prevent Alcohol use disorder ?,
information,What is (are) Alcohol withdrawal ?,
causes,What causes Alcohol withdrawal ?,
symptoms,What are the symptoms of Alcohol withdrawal ?,
exams and tests,How to diagnose Alcohol withdrawal ?,
treatment,What are the treatments for Alcohol withdrawal ?,
support groups,Where to find support for people with Alcohol withdrawal ?,
outlook,What is the outlook for Alcohol withdrawal ?,
when to contact a medical professional,Do I need to see a doctor for Alcohol withdrawal ?,
prevention,How to prevent Alcohol withdrawal ?,
information,What is (are) Alcoholic ketoacidosis ?,
causes,What causes Alcoholic ketoacidosis ?,
symptoms,What are the symptoms of Alcoholic ketoacidosis ?,
exams and tests,How to diagnose Alcoholic ketoacidosis ?,
treatment,What are the treatments for Alcoholic ketoacidosis ?,
outlook,What is the outlook for Alcoholic ketoacidosis ?,
complications,What are the complications of Alcoholic ketoacidosis ?,
when to contact a medical professional,Do I need to see a doctor for Alcoholic ketoacidosis ?,
prevention,How to prevent Alcoholic ketoacidosis ?,
information,What is (are) Alcoholic liver disease ?,
causes,What causes Alcoholic liver disease ?,
symptoms,What are the symptoms of Alcoholic liver disease ?,
exams and tests,How to diagnose Alcoholic liver disease ?,
treatment,What are the treatments for Alcoholic liver disease ?,
support groups,Where to find support for people with Alcoholic liver disease ?,
outlook,What is the outlook for Alcoholic liver disease ?,
complications,What are the complications of Alcoholic liver disease ?,
when to contact a medical professional,Do I need to see a doctor for Alcoholic liver disease ?,
prevention,How to prevent Alcoholic liver disease ?,
information,What is (are) Alcoholic neuropathy ?,
causes,What causes Alcoholic neuropathy ?,
symptoms,What are the symptoms of Alcoholic neuropathy ?,
exams and tests,How to diagnose Alcoholic neuropathy ?,
treatment,What are the treatments for Alcoholic neuropathy ?,
outlook,What is the outlook for Alcoholic neuropathy ?,
when to contact a medical professional,Do I need to see a doctor for Alcoholic neuropathy ?,
prevention,How to prevent Alcoholic neuropathy ?,
information,What is (are) Alcoholism - resources ?,
information,Do you have information about Aldolase blood test,
information,Do you have information about Aldosterone blood test,
information,Do you have information about Alertness - decreased,
information,What is (are) Alkalosis ?,
causes,What causes Alkalosis ?,
symptoms,What are the symptoms of Alkalosis ?,
exams and tests,How to diagnose Alkalosis ?,
treatment,What are the treatments for Alkalosis ?,
outlook,What is the outlook for Alkalosis ?,
complications,What are the complications of Alkalosis ?,
when to contact a medical professional,Do I need to see a doctor for Alkalosis ?,
prevention,How to prevent Alkalosis ?,
information,What is (are) Alkaptonuria ?,
causes,What causes Alkaptonuria ?,
symptoms,What are the symptoms of Alkaptonuria ?,
exams and tests,How to diagnose Alkaptonuria ?,
treatment,What are the treatments for Alkaptonuria ?,
outlook,What is the outlook for Alkaptonuria ?,
complications,What are the complications of Alkaptonuria ?,
when to contact a medical professional,Do I need to see a doctor for Alkaptonuria ?,
prevention,How to prevent Alkaptonuria ?,
information,Do you have information about Allergen,
information,What is (are) Allergic conjunctivitis ?,
causes,What causes Allergic conjunctivitis ?,
symptoms,What are the symptoms of Allergic conjunctivitis ?,
exams and tests,How to diagnose Allergic conjunctivitis ?,
treatment,What are the treatments for Allergic conjunctivitis ?,
outlook,What is the outlook for Allergic conjunctivitis ?,
complications,What are the complications of Allergic conjunctivitis ?,
when to contact a medical professional,Do I need to see a doctor for Allergic conjunctivitis ?,
information,What is (are) Allergic reactions ?,
considerations,What to do for Allergic reactions ?,
causes,What causes Allergic reactions ?,
symptoms,What are the symptoms of Allergic reactions ?,
considerations,What to do for Allergic reactions ?,
considerations,What to do for Allergic reactions ?,
when to contact a medical professional,Do I need to see a doctor for Allergic reactions ?,
prevention,How to prevent Allergic reactions ?,
information,What is (are) Allergic rhinitis ?,
causes,What causes Allergic rhinitis ?,
symptoms,What are the symptoms of Allergic rhinitis ?,
exams and tests,How to diagnose Allergic rhinitis ?,
treatment,What are the treatments for Allergic rhinitis ?,
outlook,What is the outlook for Allergic rhinitis ?,
when to contact a medical professional,Do I need to see a doctor for Allergic rhinitis ?,
prevention,How to prevent Allergic rhinitis ?,
information,What is (are) Allergic rhinitis - self-care ?,
when to contact a medical professional,Do I need to see a doctor for Allergic rhinitis - self-care ?,
information,What is (are) Allergic rhinitis - what to ask your doctor - adult ?,
information,What is (are) Allergic rhinitis - what to ask your doctor - child ?,
information,What is (are) Allergies ?,
causes,What causes Allergies ?,
symptoms,What are the symptoms of Allergies ?,
exams and tests,How to diagnose Allergies ?,
treatment,What are the treatments for Allergies ?,
support groups,Where to find support for people with Allergies ?,
outlook,What is the outlook for Allergies ?,
complications,What are the complications of Allergies ?,
when to contact a medical professional,Do I need to see a doctor for Allergies ?,
prevention,How to prevent Allergies ?,
information,"What is (are) Allergies, asthma, and dust ?",
information,"What is (are) Allergies, asthma, and molds ?",
information,"What is (are) Allergies, asthma, and pollen ?",
information,What is (are) Allergy shots ?,
when to contact a medical professional,Do I need to see a doctor for Allergy shots ?,
information,What is (are) Allergy testing - skin ?,
information,Do you have information about Aloe,
information,What is (are) Alopecia areata ?,
causes,What causes Alopecia areata ?,
symptoms,What are the symptoms of Alopecia areata ?,
exams and tests,How to diagnose Alopecia areata ?,
treatment,What are the treatments for Alopecia areata ?,
outlook,What is the outlook for Alopecia areata ?,
when to contact a medical professional,Do I need to see a doctor for Alopecia areata ?,
information,Do you have information about ALP - blood test,
information,What is (are) ALP isoenzyme test ?,
information,Do you have information about Alpha fetoprotein,
information,What is (are) Alpha-1 antitrypsin deficiency ?,
causes,What causes Alpha-1 antitrypsin deficiency ?,
symptoms,What are the symptoms of Alpha-1 antitrypsin deficiency ?,
exams and tests,How to diagnose Alpha-1 antitrypsin deficiency ?,
treatment,What are the treatments for Alpha-1 antitrypsin deficiency ?,
outlook,What is the outlook for Alpha-1 antitrypsin deficiency ?,
complications,What are the complications of Alpha-1 antitrypsin deficiency ?,
when to contact a medical professional,Do I need to see a doctor for Alpha-1 antitrypsin deficiency ?,
information,What is (are) Alpha-1 antitrypsin test ?,
susceptibility,Who is at risk for Alpha-1 antitrypsin test? ?,
information,What is (are) Alport syndrome ?,
causes,What causes Alport syndrome ?,
symptoms,What are the symptoms of Alport syndrome ?,
exams and tests,How to diagnose Alport syndrome ?,
treatment,What are the treatments for Alport syndrome ?,
support groups,Where to find support for people with Alport syndrome ?,
outlook,What is the outlook for Alport syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Alport syndrome ?,
prevention,How to prevent Alport syndrome ?,
information,Do you have information about ALS - resources,
information,What is (are) Alstrm syndrome ?,
causes,What causes Alstrm syndrome ?,
